File Name	Sample ID	Acquisition Date	Gate	Gated Events	Total Events	X Parameter	Y Parameter	Quad Location	Tube	Panel	Label	Events	% Gated	% Total	X Geo Mean	Y Geo Mean	Median	
Data.0405.001	B6.SP-Unstained	05-Apr-06	No Gate	25946	25946	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #1	Krishna-1	R1	9980	38.46	.	462.33	219.94	.	
Data.0405.001	B6.SP-Unstained	05-Apr-06	G1	9980	25946	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	UL	4	0.04	.	4.31	63.49	.	
Data.0405.001	B6.SP-Unstained	05-Apr-06	G1	9980	25946	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	UR	8	0.08	.	23.29	43.08	.	
Data.0405.001	B6.SP-Unstained	05-Apr-06	G1	9980	25946	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	LL	9962	99.82	.	2.36	3.03	.	
Data.0405.001	B6.SP-Unstained	05-Apr-06	G1	9980	25946	FL1-H FL1-Height (Log)	FL2-H FL2-Height (Log)	12, 20	tube #1	Krishna-1	LR	6	0.06	.	23.40	9.50	.	
.	B6.SP-Unstained	.	.	.	.	.	.	.	tube #1	.	All	.	100.00	38.46	2.37	.	2.33	
.	B6.SP-Unstained	.	.	.	.	.	.	.	tube #1	.	M1	.	99.91	38.43	2.36	.	2.33	
.	B6.SP-Unstained	.	.	.	.	.	.	.	tube #1	.	M2	.	0.09	0.03	32.55	.	19.63	
.	B6.SP-Unstained	.	.	.	.	.	.	.	tube #1	.	All	.	100.00	38.46	3.04	.	3.16	
.	B6.SP-Unstained	.	.	.	.	.	.	.	tube #1	.	M1	.	95.74	36.83	3.17	.	3.25	
.	B6.SP-Unstained	.	.	.	.	.	.	.	tube #1	.	M2	.	0.18	0.07	34.77	.	20.91	
Data.0405.002	B6.SP-CD3-F	05-Apr-06	No Gate	25028	25028	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #2	Krishna-1	R1	9983	39.89	.	461.70	219.15	.	
Data.0405.002	B6.SP-CD3-F	05-Apr-06	G1	9983	25028	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	UL	2	0.02	.	4.76	33.53	.	
Data.0405.002	B6.SP-CD3-F	05-Apr-06	G1	9983	25028	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	UR	11	0.11	.	22.73	25.63	.	
Data.0405.002	B6.SP-CD3-F	05-Apr-06	G1	9983	25028	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	LL	8065	80.79	.	2.89	2.99	.	
Data.0405.002	B6.SP-CD3-F	05-Apr-06	G1	9983	25028	FL1-H CD3-FITC (Log)	FL2-H (Log)	12, 20	tube #2	Krishna-1	LR	1905	19.08	.	84.08	3.43	.	
.	B6.SP-CD3-F	.	.	.	.	.	.	.	tube #2	.	All	.	100.00	39.89	5.51	.	3.31	
.	B6.SP-CD3-F	.	.	.	.	.	.	.	tube #2	.	M1	.	81.29	32.42	2.91	.	2.81	
.	B6.SP-CD3-F	.	.	.	.	.	.	.	tube #2	.	M2	.	18.62	7.43	88.38	.	94.75	
.	B6.SP-CD3-F	.	.	.	.	.	.	.	tube #2	.	All	.	100.00	39.89	3.08	.	3.22	
.	B6.SP-CD3-F	.	.	.	.	.	.	.	tube #2	.	M1	.	95.25	37.99	3.23	.	3.31	
.	B6.SP-CD3-F	.	.	.	.	.	.	.	tube #2	.	M2	.	0.19	0.08	23.12	.	21.10	
Data.0405.003	B6.SP-CD4-PE	05-Apr-06	No Gate	24954	24954	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #3	Krishna-1	R1	9974	39.97	.	464.76	218.61	.	
Data.0405.003	B6.SP-CD4-PE	05-Apr-06	G1	9974	24954	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	UL	1302	13.05	.	2.41	454.92	.	
Data.0405.003	B6.SP-CD4-PE	05-Apr-06	G1	9974	24954	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	UR	11	0.11	.	19.14	34.21	.	
Data.0405.003	B6.SP-CD4-PE	05-Apr-06	G1	9974	24954	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	LL	8657	86.80	.	2.37	4.36	.	
Data.0405.003	B6.SP-CD4-PE	05-Apr-06	G1	9974	24954	FL1-H (Log)	FL2-H CD4 PE (Log)	12, 20	tube #3	Krishna-1	LR	4	0.04	.	19.07	7.17	.	
.	B6.SP-CD4-PE	.	.	.	.	.	.	.	tube #3	.	All	.	100.00	39.97	2.38	.	2.35	
.	B6.SP-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M1	.	99.89	39.93	2.38	.	2.35	
.	B6.SP-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M2	.	0.11	0.04	22.27	.	21.29	
.	B6.SP-CD4-PE	.	.	.	.	.	.	.	tube #3	.	All	.	100.00	39.97	8.01	.	5.00	
.	B6.SP-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M1	.	83.69	33.45	4.37	.	4.49	
.	B6.SP-CD4-PE	.	.	.	.	.	.	.	tube #3	.	M2	.	14.46	5.78	333.27	.	723.39	
Data.0405.004	B6.SP-ISO-F & ISO-PE	05-Apr-06	No Gate	26218	26218	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #4	Krishna-1	R1	9995	38.12	.	468.00	221.50	.	
Data.0405.004	B6.SP-ISO-F & ISO-PE	05-Apr-06	G1	9995	26218	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	UL	54	0.54	.	3.47	77.34	.	
Data.0405.004	B6.SP-ISO-F & ISO-PE	05-Apr-06	G1	9995	26218	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	UR	20	0.20	.	40.79	34.79	.	
Data.0405.004	B6.SP-ISO-F & ISO-PE	05-Apr-06	G1	9995	26218	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	LL	9893	98.98	.	2.47	3.19	.	
Data.0405.004	B6.SP-ISO-F & ISO-PE	05-Apr-06	G1	9995	26218	FL1-H ISO-FITC (Log)	FL2-H ISO-PE (Log)	12, 20	tube #4	Krishna-1	LR	28	0.28	.	15.23	13.76	.	
.	B6.SP-ISO-F & ISO-PE	.	.	.	.	.	.	.	tube #4	.	All	.	100.00	38.12	2.50	.	2.46	
.	B6.SP-ISO-F & ISO-PE	.	.	.	.	.	.	.	tube #4	.	M1	.	99.65	37.99	2.48	.	2.46	
.	B6.SP-ISO-F & ISO-PE	.	.	.	.	.	.	.	tube #4	.	M2	.	0.33	0.13	29.98	.	18.60	
.	B6.SP-ISO-F & ISO-PE	.	.	.	.	.	.	.	tube #4	.	All	.	100.00	38.12	3.27	.	3.37	
.	B6.SP-ISO-F & ISO-PE	.	.	.	.	.	.	.	tube #4	.	M1	.	95.66	36.47	3.32	.	3.40	
.	B6.SP-ISO-F & ISO-PE	.	.	.	.	.	.	.	tube #4	.	M2	.	0.96	0.37	46.82	.	28.77	
Data.0405.005	B6.SP-CD3/CD4	05-Apr-06	No Gate	25903	25903	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #5	Krishna-1	R1	9999	38.60	.	468.54	218.19	.	
Data.0405.005	B6.SP-CD3/CD4	05-Apr-06	G1	9999	25903	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	UL	245	2.45	.	4.88	43.11	.	
Data.0405.005	B6.SP-CD3/CD4	05-Apr-06	G1	9999	25903	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	UR	1168	11.68	.	102.46	720.83	.	
Data.0405.005	B6.SP-CD3/CD4	05-Apr-06	G1	9999	25903	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	LL	7753	77.54	.	2.90	4.42	.	
Data.0405.005	B6.SP-CD3/CD4	05-Apr-06	G1	9999	25903	FL1-H CD3-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #5	Krishna-1	LR	833	8.33	.	71.37	4.91	.	
.	B6.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	All	.	100.00	38.60	5.82	.	3.43	
.	B6.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M1	.	80.35	31.02	2.97	.	2.92	
.	B6.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M2	.	19.63	7.58	91.49	.	98.22	
.	B6.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	All	.	100.00	38.60	8.55	.	5.23	
.	B6.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M1	.	82.65	31.90	4.49	.	4.61	
.	B6.SP-CD3/CD4	.	.	.	.	.	.	.	tube #5	.	M2	.	15.42	5.95	337.65	.	749.89	
Data.0405.006	B6.SP-CD8/CD4	05-Apr-06	No Gate	25966	25966	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #6	Krishna-1	R1	9998	38.50	.	474.17	220.87	.	
Data.0405.006	B6.SP-CD8/CD4	05-Apr-06	G1	9998	25966	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	UL	1320	13.20	.	2.96	471.94	.	
Data.0405.006	B6.SP-CD8/CD4	05-Apr-06	G1	9998	25966	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	UR	53	0.53	.	39.75	105.40	.	
Data.0405.006	B6.SP-CD8/CD4	05-Apr-06	G1	9998	25966	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	LL	8024	80.26	.	2.79	4.52	.	
Data.0405.006	B6.SP-CD8/CD4	05-Apr-06	G1	9998	25966	FL1-H CD8-FITC (Log)	FL2-H CD4-PE (Log)	12, 20	tube #6	Krishna-1	LR	601	6.01	.	76.63	3.92	.	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	All	.	100.00	38.50	3.48	.	2.89	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M1	.	93.81	36.12	2.83	.	2.76	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	6.13	2.36	81.55	.	90.58	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	All	.	100.00	38.50	8.42	.	5.23	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M1	.	82.85	31.90	4.47	.	4.61	
.	B6.SP-CD8/CD4	.	.	.	.	.	.	.	tube #6	.	M2	.	15.25	5.87	322.95	.	743.18	
Data.0405.007	B6.SP-B220/CD4	05-Apr-06	No Gate	32665	32665	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #7	Krishna-1	R1	9993	30.59	.	480.95	222.52	.	
