Type	ID	Name	Comment
1	1	Flu Mask	"Medical mask with an ???x??? mark on it that protects its wearer from contagious airborne diseases."
1	2	Black Mask	"A black mask that covers half of the face."
1	3	ButterFly Mask	"A splendid mask that seems to be worn in masquerades."
1	4	Zorro Mask	"A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness."
1	5	Persian Mask	"A silken mask that evokes a mysterious feeling."
1	6	Wicked Mask	"You can't trust the intentions of anyone who wears this mask???"
1	7	Jolly Front Mask	"An innocuously dopey mask that conceals your true intentions once you put it on."
1	8	Iron Mask	"Iron mask that covers half of the face when worn."
1	9	Totem Mask	"A mask that is the standard for use in totem ceremonies."
1	11	Ashura Mask	"A mask of a face that is half man and half woman."
1	13	Mask of Lies	"A mask of an insincerely weeping face."
1	31	Glasses Frame	"A glasses frame without any lenses."
1	32	Dork Glasses	"A pair of thick glasses usually worn by diligent students."
1	33	Thick Framed Glasses	"A pair of square framed glasses."
1	34	Sunglasses	"A pair of glasses with darkly tinted lenses that protect the eyes from strong sunlight."
1	35	Charming Sunglasses	"A pair of charming glasses with darkly tinted lenses that protect the eyes from strong sunlight."
1	36	Swimming Goggles	"A pair of goggles which helps its wearer to see better while underwater."
1	38	Cart Goggles	"A pair of goggles usually worn while driving a Cart."
1	62	Pierrot Nose	"A funny looking red nose that is usually worn by clowns."
1	64	Pinocchio Nose	"A wooden nose that grows when its wearer lies."
1	73	Santa Beard	"Jolly and cheery facial hair. It's annoying to wear it while you're eating."
1	121	Ego Mask	"A mask that expresses the idea that mankind is both good and evil."
1	151	Scream Mask (7 STR)	"A dreadful mask that actually appeared in a popular horror movie."
1	152	Nomadic Mask	"Mask usually worn by villains during their entrance in the movies."
1	153	Mummy Face	"Frighten your enemies by wrapping your face in bandages like a mummy."
1	156	Jason Mask	"A hockey mask very much like the one worn by Jason in the Friday the 13th films."
1	157	Scream Mask (7 SEN)	"A dreadful mask that actually appeared in a popular horror movie."
1	161	Star Glasses	"Lovely glasses with a star shaped frame."
1	162	Matrix Eye	"Fashionable glasses worn by the man who disappeared while investigating the truth of what's really controlling the Visitors."
1	166		""
1	171	Rat Tail Mustache	"A false mustache that is known as a mouse's tail. Wearing it brings you a step closer to true elegance."
1	172	Oro's Present	"A helmet made of gold whose function is mainly ceremonial."
1	181	Junon Mask	"A gift from the Junon Order. (Quest Reward)"
