CRI#	Location	Date	Protocol	Date	Time	Site(s)	Length	Date/Time Processed																																																			
65500569	20205001	TYPE A	Lobeta v1.3	17.07.07	10.49.34	S#1 	897	11.28.07.17.53.33.EST																																																			
1 Hz	2 Hz	3 Hz	4 Hz	5 Hz	6 Hz	7 Hz	8 Hz	9 Hz	10 Hz	11 Hz	12 Hz	13 Hz	14 Hz	15 Hz	16 Hz	17 Hz	18 Hz	19 Hz	20 Hz	21 Hz	22 Hz	23 Hz	24 Hz	25 Hz	26 Hz	27 Hz	28 Hz	29 Hz	30 Hz	31 Hz	32 Hz	33 Hz	34 Hz	35 Hz	36 Hz	37 Hz	38 Hz	39 Hz	40 Hz	41 Hz	42 Hz	43 Hz	44 Hz	45 Hz	46 Hz	47 Hz	48 Hz	49 Hz	50 Hz	51 Hz	52 Hz	53 Hz	54 Hz	55 Hz	56 Hz	57 Hz	58 Hz	59 Hz	60 Hz
1.8845179	1.8845179	1.8158513	0.28992584	8.17133	2.639851	0.10681479	1.495407	0.14496292	1.9150364	3.0594807	0.79348123	2.5864437	0.90792567	1.8997772	2.3499253	1.9150364	0.16022217	0.13733329	0.43488875	0.90792567	0.19074069	1.7166661	0.19074069	0.32044435	0.5340739	0.5188147	0.98422194	0.88503677	0.2517777	0.25940734	0.099185154	0.26703694	0.007629627	0.44251838	1.0986663	0.29755548	1.045259	0.1678518	0.12970367	0.5264443	0.45777765	0.07629627	0.19837031	0.16022217	0.03051851	0.11444441	0.23651844	0.18311106	0.0839259	0.12207404	0.25940734	0.11444441	0.16022217	0.12207404	0.26703694	0.24414808	0.23651844	0.12970367	0.16022217
1.3885921	1.3885921	0.41199988	0.16022217	0.12207404	0.06103702	0.045777764	0.038148135	0.03051851	0.03051851	0.022888882	0.015259255	0.007629627	0	0	0	0	0.007629627	0.015259255	0.015259255	0.015259255	0.022888882	0.007629627	0.022888882	0.022888882	0.022888882	0.007629627	0.022888882	0.007629627	0.022888882	0.015259255	0.03051851	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.015259255	0.022888882	0.022888882	0.022888882	0.022888882	0.007629627	0.015259255
1.6479995	1.6479995	0.39674062	0.23651844	0.099185154	0.099185154	0.022888882	0.06103702	0	0.045777764	0	0.022888882	0	0.007629627	0	0	0.007629627	0.007629627	0.015259255	0.015259255	0.03051851	0.015259255	0.03051851	0.015259255	0.015259255	0.015259255	0.03051851	0.015259255	0.03051851	0.015259255	0.03051851	0.022888882	0.03051851	0.022888882	0.03051851	0.022888882	0.03051851	0.022888882	0.03051851	0.022888882	0.03051851	0.022888882	0.022888882	0.015259255	0.015259255	0.022888882	0.015259255	0.022888882	0.015259255	0.022888882	0.015259255	0.022888882	0.015259255	0.022888882	0.022888882	0.015259255	0.03051851	0.015259255	0.022888882	0.015259255
1.9226661	1.9226661	0.35096285	0.3128147	0.06103702	0.12970367	0.007629627	0.068666644	0.03051851	0.045777764	0.022888882	0.022888882	0.015259255	0.007629627	0	0.007629627	0	0.015259255	0.007629627	0.03051851	0.015259255	0.038148135	0.015259255	0.038148135	0.03051851	0.03051851	0.022888882	0.022888882	0.03051851	0.022888882	0.038148135	0.022888882	0.038148135	0.03051851	0.038148135	0.03051851	0.038148135	0.03051851	0.038148135	0.03051851	0.03051851	0.022888882	0.022888882	0.022888882	0.015259255	0.022888882	0.015259255	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.022888882	0.015259255	0.022888882	0.03051851	0.022888882	0.038148135	0.03051851	0.03051851
2.212592	2.212592	0.2822962	0.38911098	0.015259255	0.14496292	0.045777764	0.053407393	0.06103702	0.015259255	0.053407393	0.007629627	0.022888882	0	0	0	0.015259255	0.007629627	0.03051851	0.015259255	0.045777764	0.022888882	0.045777764	0.022888882	0.03051851	0.03051851	0.022888882	0.038148135	0.022888882	0.045777764	0.022888882	0.045777764	0.038148135	0.045777764	0.038148135	0.03051851	0.038148135	0.038148135	0.045777764	0.038148135	0.038148135	0.03051851	0.03051851	0.022888882	0.022888882	0.03051851	0.03051851	0.03051851	0.03051851	0.022888882	0.03051851	0.022888882	0.03051851	0.022888882	0.03051851	0.038148135	0.038148135	0.045777764	0.038148135	0.038148135
2.517777	2.517777	0.1678518	0.45014802	0.07629627	0.14496292	0.09155553	0.015259255	0.0839259	0.022888882	0.053407393	0.03051851	0.022888882	0.007629627	0	0	0	0.022888882	0.007629627	0.045777764	0.022888882	0.053407393	0.03051851	0.045777764	0.022888882	0.022888882	0.053407393	0.022888882	0.045777764	0.03051851	0.038148135	0.045777764	0.038148135	0.06103702	0.038148135	0.053407393	0.045777764	0.045777764	0.053407393	0.045777764	0.038148135	0.038148135	0.03051851	0.03051851	0.03051851	0.03051851	0.03051851	0.03051851	0.03051851	0.022888882	0.038148135	0.03051851	0.03051851	0.038148135	0.038148135	0.03051851	0.053407393	0.038148135	0.053407393	0.038148135
2.8382213	2.8382213	0.038148135	0.48066652	0.17548142	0.12207404	0.12970367	0.03051851	0.06103702	0.07629627	0.015259255	0.053407393	0.007629627	0.015259255	0	0	0.015259255	0.007629627	0.045777764	0.015259255	0.068666644	0.03051851	0.06103702	0.045777764	0.06103702	0.06103702	0.03051851	0.053407393	0.045777764	0.038148135	0.06103702	0.045777764	0.06103702	0.053407393	0.053407393	0.06103702	0.045777764	0.068666644	0.06103702	0.053407393	0.053407393	0.038148135	0.038148135	0.038148135	0.03051851	0.03051851	0.038148135	0.03051851	0.038148135	0.038148135	0.038148135	0.038148135	0.03051851	0.045777764	0.045777764	0.053407393	0.038148135	0.06103702	0.03051851	0.053407393
3.1586657	3.1586657	0.12970367	0.48066652	0.2822962	0.06103702	0.14496292	0.0839259	0.015259255	0.099185154	0.038148135	0.045777764	0.038148135	0.007629627	0	0	0.015259255	0.022888882	0.015259255	0.06103702	0.03051851	0.07629627	0.045777764	0.045777764	0.03051851	0.03051851	0.053407393	0.053407393	0.038148135	0.068666644	0.045777764	0.053407393	0.07629627	0.045777764	0.07629627	0.06103702	0.06103702	0.07629627	0.06103702	0.068666644	0.06103702	0.045777764	0.045777764	0.038148135	0.038148135	0.038148135	0.038148135	0.038148135	0.045777764	0.045777764	0.038148135	0.045777764	0.045777764	0.038148135	0.038148135	0.06103702	0.068666644	0.06103702	0.07629627	0.045777764
3.47911	3.47911	0.32807398	0.44251838	0.38148138	0.022888882	0.12970367	0.11444441	0.053407393	0.068666644	0.099185154	0.007629627	0.053407393	0.007629627	0	0.007629627	0	0.03051851	0.045777764	0.022888882	0.09155553	0.038148135	0.068666644	0.07629627	0.068666644	0.068666644	0.053407393	0.038148135	0.07629627	0.053407393	0.053407393	0.09155553	0.068666644	0.068666644	0.0839259	0.053407393	0.068666644	0.068666644	0.07629627	0.0839259	0.068666644	0.053407393	0.045777764	0.045777764	0.045777764	0.045777764	0.053407393	0.045777764	0.045777764	0.045777764	0.038148135	0.045777764	0.053407393	0.038148135	0.068666644	0.045777764	0.0839259	0.07629627	0.09155553	0.0839259
3.7919247	3.7919247	0.54933316	0.35859248	0.45777765	0.12207404	0.0839259	0.11444441	0.11444441	0.015259255	0.10681479	0.06103702	0.022888882	0.03051851	0	0	0.03051851	0.015259255	0.045777764	0.07629627	0.03051851	0.099185154	0.068666644	0.045777764	0.053407393	0.053407393	0.045777764	0.0839259	0.06103702	0.053407393	0.0839259	0.068666644	0.07629627	0.11444441	0.07629627	0.07629627	0.09155553	0.0839259	0.09155553	0.099185154	0.07629627	0.053407393	0.045777764	0.053407393	0.053407393	0.053407393	0.06103702	0.06103702	0.053407393	0.06103702	0.06103702	0.045777764	0.06103702	0.068666644	0.07629627	0.0839259	0.053407393	0.099185154	0.0839259	0.099185154
