Row,Col 0,Col 1,Col 2,Col 3,Col 4,Col 5,Col 6
0,73,6,,,,,
1,,Dept - Name1,07142,6,0,244,47
2,,Dept - Name2,11291,0,0,12,0
3,,Dept - Name3,11406,0,0,68,62
4,,Dept - Name4,11406,0,0,124,0
5,,Dept - Name5,16546,0,0,4,14
6,,Dept - Name6,16913,0,0,391,0
7,,Dept - Name7,16917,0,0,71,0
8,,Dept - Name8,17458,0,0,30,0
9,,Dept - Name9,18411,0,0,52,0
10,,Dept - Name10,18614,0,0,25,9
11,,Dept - Name11,18614,0,0,91,0
12,,Dept - Name12,18978,0,0,57,0
13,,Dept - Name13,19795,0,0,41,0
14,,Dept - Name14,20215,2,3,2,4
15,,Dept - Name15,21028,0,0,6,0
16,,Dept - Name16,21756,2,0,7,0
17,,Dept - Name17,22597,0,0,2,0
18,,Dept - Name18,22736,0,0,104,0
19,,Dept - Name19,26470,0,0,0,3
20,,Dept - Name20,35090,4,0,26,0
21,,Dept - Name21,37254,0,0,28,0
22,,Dept - Name22,37254,2,3,41,0
23,,Dept - Name23,37254,0,0,2,0
24,,Dept - Name24,37332,17,0,10,0
25,,Dept - Name25,38750,0,0,60,0
26,,Dept - Name26,39857,0,0,90,29
27,,Dept - Name27,40369,0,0,10,0
28,,Dept - Name28,40454,1,0,0,0
29,,Dept - Name29,41174,0,0,63,0
30,,Dept - Name30,41174,0,0,2,0
31,,Dept - Name31,44128,15,0,75,0
32,,Dept - Name32,44207,0,6,3,13
33,,Dept - Name33,44692,0,0,467,0
34,,Dept - Name34,44710,24,0,22,0
35,,Dept - Name35,44769,134,0,1,0
36,,Dept - Name36,44769,0,0,35,0
37,,Dept - Name37,44769,109,0,6,11
38,,Dept - Name38,44805,50,278,37,43
39,,Dept - Name39,52168,2,0,95,0
40,,Dept - Name40,52452,0,0,222,0
41,,Dept - Name41,52725,19,0,15,0
42,,Dept - Name42,52768,0,0,83,22
43,,Dept - Name43,52807,28,0,66,0
44,,Dept - Name44,54585,36,0,331,0
45,,Dept - Name45,54585,0,0,12,0
46,,Dept - Name46,59245,41,0,118,0
47,,Dept - Name47,61452,0,0,21,0
48,,Dept - Name48,68123,0,0,12,0
49,,Dept - Name49,68170,0,0,81,0
50,,Dept - Name50,68170,17,0,277,0
51,,Dept - Name51,68397,0,0,1,0
52,,Dept - Name52,72056,0,0,47,249
53,,Dept - Name53,72572,0,0,212,0
54,,Dept - Name54,72598,0,0,18,0
55,,Dept - Name55,72619,0,0,82,0
56,,Dept - Name56,72764,34,30,19,12
57,,Dept - Name57,72764,0,0,48,114
58,,Dept - Name58,75738,0,0,11,0
59,,Dept - Name59,75738,0,0,0,9
60,,Dept - Name60,78967,0,0,243,0
61,,Dept - Name61,85416,0,0,20,0
62,,Dept - Name62,85668,0,0,450,63
63,,Dept - Name63,85906,0,0,32,0
64,,Dept - Name64,85931,14,0,38,140
65,,Dept - Name65,91162,18,0,374,0
66,,Dept - Name66,91162,0,0,21,0
67,,Dept - Name67,91223,0,0,105,0
68,,Dept - Name68,91878,0,0,88,9
69,,Dept - Name69,91980,12,0,201,0
70,,Dept - Name70,93299,0,0,6,0
71,,Dept - Name71,96273,80,0,0,0
72,,Dept - Name72,96273,18,0,45,0
73,,Dept - Name73,98553,0,6,6,21
