Computer	RegKey	DisplayName	DisplayVersion	Publisher	QuietDisplayName	InstallDate	InstallSource
PCNAME	Adobe Acrobat 7.0 Professional - V	Adobe Acrobat 7.0 Professional	7.0.0	Adobe Systems		20/01/2005	
PCNAME	BuildVersion	Where I work Build Version XP010	XP010 13/09/2010	IT Department			
PCNAME	CentraStage	CentraStage	4.4.1632.1632	CentraStage			
PCNAME	CutePDF Writer Installation	CutePDF Writer 3.0	 3.0	CutePDF.com			
PCNAME	EMS	Capita One/EMS	Capita One EMS	Capita			
PCNAME	Foundation Stage Profile	eProfile	3.3.0	FSP\Version3			
PCNAME	HDMI	Intel(R) Graphics Media Accelerator Driver					
PCNAME	IDNMitigationAPIs	Microsoft Internationalized Domain Names Mitigation APIs		Microsoft Corporation		20100906	
PCNAME	ie7	Windows Internet Explorer 7	20070813.185237	Microsoft Corporation		20100906	
PCNAME	ie8	Windows Internet Explorer 8	20090308.140743	Microsoft Corporation		20130125	
PCNAME	KB2079403	Security Update for Windows XP (KB2079403)	1	Microsoft Corporation		20100906	
PCNAME	KB2115168	Security Update for Windows XP (KB2115168)	1	Microsoft Corporation		20100906	
PCNAME	KB2121546	Security Update for Windows XP (KB2121546)	1	Microsoft Corporation		20110401	
PCNAME	KB2160329	Security Update for Windows XP (KB2160329)	1	Microsoft Corporation		20100906	
PCNAME	KB2183461-IE7	Security Update for Windows Internet Explorer 7 (KB2183461)	1	Microsoft Corporation		20100906	
PCNAME	KB2229593	Security Update for Windows XP (KB2229593)	1	Microsoft Corporation		20100906	
PCNAME	KB2259922	Security Update for Windows XP (KB2259922)	1	Microsoft Corporation		20110401	
PCNAME	KB2286198	Security Update for Windows XP (KB2286198)	1	Microsoft Corporation		20100906	
PCNAME	KB2296011	Security Update for Windows XP (KB2296011)	1	Microsoft Corporation		20110401	
PCNAME	KB2347290	Security Update for Windows XP (KB2347290)	1	Microsoft Corporation		20110401	
PCNAME	KB2360937	Security Update for Windows XP (KB2360937)	1	Microsoft Corporation		20110401	
PCNAME	KB2378111_WM9	Security Update for Windows Media Player (KB2378111)		Microsoft Corporation		20110401	
PCNAME	KB2387149	Security Update for Windows XP (KB2387149)	1	Microsoft Corporation		20110401	
PCNAME	KB2393802	Security Update for Windows XP (KB2393802)	1	Microsoft Corporation		20110401	
PCNAME	KB2412687	Security Update for Windows XP (KB2412687)	1	Microsoft Corporation		20110418	
PCNAME	KB2419632	Security Update for Windows XP (KB2419632)	1	Microsoft Corporation		20110401	
PCNAME	KB2423089	Security Update for Windows XP (KB2423089)	1	Microsoft Corporation		20110401	
PCNAME	KB2440591	Security Update for Windows XP (KB2440591)	1	Microsoft Corporation		20110401	
PCNAME	KB2443105	Security Update for Windows XP (KB2443105)	1	Microsoft Corporation		20110401	
PCNAME	KB2476490	Security Update for Windows XP (KB2476490)	1	Microsoft Corporation		20110628	
PCNAME	KB2476687	Security Update for Windows XP (KB2476687)	1	Microsoft Corporation		20110401	
