IPAddress,ServerHostname,Env,Type
10.2.60.121,belgiumserver1,NP,WEB
10.2.61.121,belgiumserver2,NP,WEB
10.2.60.57,belgiumserver3,NP,WEB
10.2.60.82,belgiumserver4,DEV,WEB
10.2.60.98,belgiumserver5,DEV,WEB
10.2.60.99,belgiumserver6,DEV,WEB
10.2.61.101,belgiumserver7,DEV,WEB
10.2.90.82,belgiumserver8,PROD,WEB
10.2.58.82,belgiumserver9,PROD,WEB
10.2.90.83,belgiumserver10,PROD,WEB
10.2.58.83,denmark1,PROD,CORP
10.2.90.98,denmark2,PROD,CORP
10.2.90.99,denmark3,PROD,CORP
10.2.90.120,denmark4,PROD,CORP
10.2.91.82,denmark5,PROD,CORP
10.2.59.82,denmark6,PROD,CORP
10.2.91.98,denmark7,PROD,CORP
10.2.91.99,denmark8,PROD,CORP
