Row|ProcessName|PID|Object Type|Type#|Object/Path Name|Handle|ObjectPtr|Flags|Access Mask|Attribs|Granted Access|#Handles|#Pointers|SubType|ExInfo #|ExInfoArr|Col 16
[0]|NTSystemObjectsSelfExamine.exe|2388|Directory|3|\KnownDlls|0x00000004|0x8D2A54E0|00000000|00000003|00000010|00000003|57|95||0||
[1]|NTSystemObjectsSelfExamine.exe|2388|File|28|C:\Users\Usuario\Downloads\NTKernelObjects|0x00000008|0x84FD4F18|00000000|00100020|00000000|00100020|1|1|File|0||
[2]|NTSystemObjectsSelfExamine.exe|2388|File|28|C:\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc|0x0000000C|0x84F6C038|00000000|00100020|00000000|00100020|1|1|File|0||
[3]|NTSystemObjectsSelfExamine.exe|2388|Key|35|HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions|0x00000010|0xB8230E28|00000000|00020019|00000000|00020019|1|1||0||
[4]|NTSystemObjectsSelfExamine.exe|2388|ALPC Port|36||0x00000014|0x84BF76A8|00000000|001F0001|00000000|001F0001|1|3||0||
[5]|NTSystemObjectsSelfExamine.exe|2388|Key|35|HKEY_LOCAL_MACHINE\SYSTEM\ControlSet001\Control\Session Manager|0x00000018|0xB3804CC0|00000000|00000001|00000000|00000001|1|1||0||
[6]|NTSystemObjectsSelfExamine.exe|2388|EtwRegistration|39||0x0000001C|0x84CE1A60|00000000|00000804|00000000|00000000||||-2||
[7]|NTSystemObjectsSelfExamine.exe|2388|Event|12||0x00000020|0x87DF6CB8|00000001|001F0003|00000000|001F0003|1|2||2||1, 0
[8]|NTSystemObjectsSelfExamine.exe|2388|WindowStation|20|\Sessions\1\Windows\WindowStations\WinSta0|0x00000024|0x89E4EA50|00000000|000F037F|00000000|000F037F|41|66||0||
[9]|NTSystemObjectsSelfExamine.exe|2388|Desktop|21|\Default|0x00000028|0x89E4DBC0|00000000|000F01FF|00000000|000F01FF|24|1794||0||
