Row|Name [0]=Totals|Object Count|Handle Count|Peak Object Count|Peak Handle Count|Invalid Attribs|Generic Mapping Read|Write|Execute|All|Valid Access Attribs|Maintain Handle Database|Pool Type|Paged Pool Usage|NonPaged Pool Usage|TableIndex
[0]|42|25347|17037|||||||||||||
[1]|Type|42|0|42|0|00000100|131072|131072|131072|983041|001F0001|0|0|0|184|2
[2]|Directory|47|133|52|167|00000100|131075|131084|131075|983055|000F000F|0|1|48|168|3
[3]|SymbolicLink|329|5|339|7|00000100|131073|131072|131073|983041|000F0001|0|1|48|24|4
[4]|Token|834|291|1068|390|00000100|131098|131552|131077|983551|001F01FF|0|1|48|0|5
[5]|Job|14|14|31|31|00000000|131076|131083|1179648|2031647|001F001F|0|0|0|360|6
[6]|Process|59|326|74|442|000000B0|132112|134122|1183745|2097151|001FFFFF|0|0|4096|752|7
[7]|Thread|859|1529|1081|2065|000000B0|131144|132151|1181696|2097151|001FFFFF|0|0|0|744|8
[8]|UserApcReserve|1|1|7|7|000000B0|131073|131074|131072|983043|000F0003|0|0|0|100|9
[9]|IoCompletionReserve|0|0|0|0|000000B0|131073|131074|131072|983043|000F0003|0|0|0|92|10
[10]|DebugObject|0|0|1|1|00000000|131073|131074|1179648|2031631|001F000F|0|0|0|48|11
[11]|Event|4971|5213|6208|6621|00000100|131073|131074|1179648|2031619|001F0003|0|0|0|64|12
[12]|EventPair|0|0|0|0|00000100|1179648|1179648|1179648|2031616|001F0000|0|0|0|84|13
[13]|Mutant|809|959|872|1115|00000100|131073|131072|1179648|2031617|001F0001|0|0|0|80|14
[14]|Callback|19|0|19|1|00000100|131072|131073|1179648|2031617|001F0001|0|0|0|48|15
[15]|Semaphore|1114|1122|1434|1439|00000100|131073|131074|1179648|2031619|001F0003|0|0|0|68|16
[16]|Timer|184|184|220|220|00000100|131073|131074|1179648|2031619|001F0003|0|0|0|200|17
[17]|Profile|0|0|0|0|00000100|131073|131073|131073|983041|000F0001|0|0|0|104|18
[18]|KeyedEvent|73|72|91|90|00000000|131073|131074|131072|983043|001F0003|0|1|48|0|19
[19]|WindowStation|7|106|8|138|00000130|131843|131100|131168|983935|000F037F|1|0|0|104|20
[20]|Desktop|11|64|12|81|00000130|131137|131262|131328|983551|000F01FF|1|0|0|132|21
[21]|TpWorkerFactory|90|180|127|254|00000100|131080|131076|131075|983295|000F00FF|0|0|0|168|22
[22]|Adapter|16|0|16|1|00000100|1179785|1179926|1179808|2032127|001F01FF|0|0|0|48|23
[23]|Controller|2|0|2|1|00000100|1179785|1179926|1179808|2032127|001F01FF|0|0|0|88|24
[24]|Device|418|0|428|1|00000100|1179785|1179926|1179808|2032127|001F01FF|0|0|0|232|25
[25]|Driver|121|0|122|1|00000100|1179785|1179926|1179808|2032127|001F01FF|0|0|0|216|26
[26]|IoCompletion|135|116|182|166|00000110|131073|131074|1179648|2031619|001F0003|0|0|0|88|27
[27]|File|8903|1478|13493|1874|00000130|1179785|1179926|1179808|2032127|001F01FF|1|0|1024|248|28
[28]|TmTm|7|7|8|9|00000100|131073|131102|131072|983103|000F003F|0|0|0|616|29
[29]|TmTx|0|0|2|3|00000100|1179649|1179710|1179672|2031743|001F007F|0|0|0|528|30
[30]|TmRm|14|14|16|16|00000100|1179649|1179774|1179740|2031743|001F007F|1|0|0|72|31
[31]|TmEn|0|0|4|4|00000100|131073|131102|131100|983071|000F001F|0|0|0|64|32
[32]|Section|1780|935|5470|2004|00000100|131077|131074|131080|983071|001F001F|0|1|88|0|33
[33]|Session|2|13|2|15|00000000|131073|131074|1179649|983043|001F0003|0|0|0|68|34
[34]|Key|1398|1394|1998|1993|00000030|131097|131078|131129|983103|001F003F|0|1|92|0|35
[35]|ALPC Port|894|875|1095|1076|00000080|131073|65537|0|2031617|001F0001|1|0|0|328|36
[36]|PowerRequest|5|1|11|6|00000192|131072|131072|131072|2031616|001F0000|1|0|0|92|37
[37]|WmiGuid|30|30|34|34|00000100|1|2|16|1183743|001F0FFF|0|0|0|228|38
[38]|EtwRegistration|2140|1956|2713|2529|00000100|131085|131170|134800|134911|00120FFF|1|0|0|100|39
[39]|EtwConsumer|6|6|6|6|00000100|131085|131170|134800|134911|00120FFF|1|0|0|136|40
[40]|FilterConnectionPort|0|0|0|0|00000100|131073|65537|0|2031617|001F0001|0|0|0|248|41
[41]|FilterCommunicationPort|0|0|0|0|00000100|131073|65537|0|2031617|001F0001|0|0|0|248|42
[42]|PcwObject|13|13|17|17|00000132|1|2|0|983043|001F0003|0|1|76|0|43
