AMnwf001;DateLock vr 26-05-2006  ;amblb901;rawol;am.indosuez;00-00-00-00-00-00;10.136.35.43;5.0;AP550W2KV2.2
AMnwf001;DateLock vr 26-05-2006  ;AMBLB902;bg_magro;am.indosuez;00-00-00-00-00-00;10.136.35.56;5.0;AP550W2KV2.32
AMnwf001;DateLock vr 26-05-2006  ;AMBLB903;desie;am.indosuez;00-00-00-00-00-00;10.136.35.21;5.0;AP550W2KV2.32
AMnwf001;DateLock Fri 26/05/2006  ;amsls922;Pigel;am.indosuez;00-00-00-00-00-00;10.136.35.50;5.0;EVOW6000W2KV2.32
AMnwf001;DateLock Fri 26/05/2006  ;AMSLS941;miroe;am.indosuez;00-00-00-00-00-00;10.136.35.63;5.0;D530W2KV2.40
AMnwf001;DateLock vr 26-05-2006  ;AMSLS942;fohee;am.indosuez;00-00-00-00-00-00;10.136.35.64;5.0;D530W2KV2.40
AMnwf001;DateLock Fri 05/26/2006  ;AMSLS943;javan;am.indosuez;00-00-00-00-00-00;10.136.35.65;5.0;D530W2KV2.40
AMnwf001;DateLock vr 26-05-2006  ;AMSLS946;mater;am.indosuez;00-00-00-00-00-00;10.136.35.68;5.0;D530W2KV2.40
AMnwf001;DateLock vr 26-05-2006  ;AMSLS947;maach;am.indosuez;00-00-00-00-00-00;10.136.35.69;5.0;D530W2KV2.40
AMnwf001;DateLock vr 26-05-2006  ;AMSLS950;rawol;am.indosuez;00-00-00-00-00-00;10.136.35.72;5.0;D530W2KV2.40
AMnwf001;DateLock wo 24-05-2006  ;AMSLS952;lyboe;am.indosuez;00-00-00-00-00-00;10.136.35.74;5.0;D530W2KV2.40
AMnwf001;DateLock vr 26-05-2006  ;AMSLS954;magro;am.indosuez;00-00-00-00-00-00;10.136.35.76;5.0;D530W2KV2.40
AMnwf001;DateLock wo 24-05-2006  ;AMSLS955;mater;am.indosuez;00-00-00-00-00-00;10.136.35.77;5.0;D530W2KV2.40
AMnwf001;DateLock vr 26-05-2006  ;AMSLS958;sakal;am.indosuez;00-00-00-00-00-00;10.136.35.80;5.0;D530W2KV2.40
AMnwf001;DateLock wo 24-05-2006  ;amsls959;mi_frjas;Travel.am.indosuez;00-00-00-00-00-00;10.136.35.81;5.0;D530W2KV2.40
AMnwf001;DateLock wo 24-05-2006  ;amsls960;jamei;AM.indosuez;00-00-00-00-00-00;10.136.35.82;5.0;D530W2KV2.40
